uid,score
u00,45
u01,46
u02,44
u03,31
u04,33
u05,50
u07,47
u09,47
u10,39
u14,53
u15,48
u16,41
u17,38
u19,42
u20,45
u23,42
u24,43
u27,31
u30,56
u31,36
u32,56
u33,28
u34,23
u35,44
u36,46
u42,16
u43,42
u44,41
u45,49
u46,44
u47,52
u49,55
u51,48
u52,37
u53,49
u56,48
u59,50
