uid,score
u00,31
u01,27
u02,28
u03,25
u04,34
u05,33
u07,16
u09,32
u10,43
u14,36
u15,33
u16,17
u17,27
u18,17
u19,34
u20,25
u23,28
u24,22
u27,19
u30,34
u31,20
u32,41
u33,26
u34,24
u35,20
u36,32
u42,36
u43,32
u44,28
u45,27
u46,31
u47,35
u51,26
u52,26
u53,33
u54,21
u56,29
u59,37
